DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
15.01.2018;21.01.2018;NEG_HT;0;3,97;Anbieter an Netz;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;32;Netz an Anbieter;40;40;;
15.01.2018;21.01.2018;NEG_HT;0;32;Netz an Anbieter;40;40;;
15.01.2018;21.01.2018;NEG_HT;0;32;Netz an Anbieter;40;40;;
15.01.2018;21.01.2018;NEG_HT;0;32;Netz an Anbieter;40;40;;
15.01.2018;21.01.2018;NEG_HT;0;32;Netz an Anbieter;40;40;;
15.01.2018;21.01.2018;NEG_HT;0;13,5;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;31;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_HT;0;98;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_HT;0;113;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_HT;0;142;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_HT;0;182;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;279;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;4999;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;4999;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;5630;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_HT;0;5800;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_HT;0;980;Netz an Anbieter;16;16;;
15.01.2018;21.01.2018;NEG_HT;0;11,1;Anbieter an Netz;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;2,1;Anbieter an Netz;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;42,1;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;142,1;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_HT;0;242,1;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_HT;0;342,1;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_HT;0;442,1;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_HT;0;542,1;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_HT;0;642,1;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_NT;0;4,9;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;799,75;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_HT;0;478;Netz an Anbieter;22;22;;
15.01.2018;21.01.2018;NEG_HT;0;577;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;577;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;798;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;798;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;2,43;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;0;2,44;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;0;103,2;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;0;103,3;Netz an Anbieter;11;11;;
15.01.2018;21.01.2018;NEG_HT;0;235;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;235;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;890;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_HT;0;51,7;Netz an Anbieter;30;30;;
15.01.2018;21.01.2018;NEG_HT;0;181,3;Netz an Anbieter;30;30;;
15.01.2018;21.01.2018;NEG_HT;0;49;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;697;Netz an Anbieter;17;17;;
15.01.2018;21.01.2018;NEG_HT;0;260;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;9999;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;0;179;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0;896;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_HT;0;0;Anbieter an Netz;14;14;;
15.01.2018;21.01.2018;NEG_HT;0;380;Netz an Anbieter;12;12;;
15.01.2018;21.01.2018;NEG_HT;0;141;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_HT;0;2,5;Anbieter an Netz;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;2,4;Anbieter an Netz;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;90;Netz an Anbieter;9;9;X;
15.01.2018;21.01.2018;NEG_HT;0;173;Netz an Anbieter;5;5;X;
