Date from;Date to;Productname;Capacity price [EUR/MW];Energy price [EUR/MWh];Payment direction;Offered power [MW];Acceptance of bid [MW];Bids from AT
16.04.2018;22.04.2018;NEG_HT;0;2.83;Provider to grid;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;2.13;Provider to grid;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;0.71;Provider to grid;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;0.31;Grid to provider;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;0.92;Grid to provider;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;2.42;Grid to provider;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;3.04;Grid to provider;21;21;;
16.04.2018;22.04.2018;NEG_HT;0;3.59;Grid to provider;21;21;;
16.04.2018;22.04.2018;NEG_HT;0;5.24;Grid to provider;30;30;;
16.04.2018;22.04.2018;NEG_HT;0;124.3;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_NT;0;4.38;Provider to grid;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;5499;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_NT;0;5499;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;717;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;717;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;717;Grid to provider;17;17;;
16.04.2018;22.04.2018;NEG_HT;0;15.22;Provider to grid;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;2.95;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_HT;0;2.95;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_HT;0;2.95;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_HT;0;2.95;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_HT;0;2.95;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_NT;0;5.25;Provider to grid;5;5;;
16.04.2018;22.04.2018;NEG_NT;0;14.35;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_NT;0;14.35;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_NT;0;14.35;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_NT;0;14.35;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_NT;0;14.35;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_NT;0;14.35;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_NT;0;88;Grid to provider;40;40;;
16.04.2018;22.04.2018;NEG_HT;0;849;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;689;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_NT;0;1178;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_NT;0;198;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;1.4;Provider to grid;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;6.7;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;49.9;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;159;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;270;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;398;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;767;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;835;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;484;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_NT;0;447;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;16.1;Provider to grid;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;4.6;Provider to grid;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;144;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_HT;0;5818;Grid to provider;6;6;;
16.04.2018;22.04.2018;NEG_NT;0;5.2;Provider to grid;5;5;;
16.04.2018;22.04.2018;NEG_NT;0;0.1;Provider to grid;5;5;;
16.04.2018;22.04.2018;NEG_NT;0;144;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;9500;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;219;Grid to provider;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;397;Grid to provider;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;750;Grid to provider;21;21;;
16.04.2018;22.04.2018;NEG_NT;0;533;Grid to provider;12;12;;
16.04.2018;22.04.2018;NEG_NT;0;643;Grid to provider;8;8;;
16.04.2018;22.04.2018;NEG_HT;0;2130;Grid to provider;9;9;;
16.04.2018;22.04.2018;NEG_HT;0;755;Grid to provider;8;8;;
16.04.2018;22.04.2018;NEG_NT;0;5350;Grid to provider;9;9;;
16.04.2018;22.04.2018;NEG_NT;0;3230;Grid to provider;8;8;;
16.04.2018;22.04.2018;NEG_HT;0;689;Grid to provider;8;8;;
16.04.2018;22.04.2018;NEG_NT;0;1178;Grid to provider;8;8;;
16.04.2018;22.04.2018;NEG_HT;0;799;Grid to provider;7;7;;
16.04.2018;22.04.2018;NEG_HT;0;354.75;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;398.75;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;449.75;Grid to provider;7;7;;
16.04.2018;22.04.2018;NEG_NT;0;354.75;Grid to provider;5;5;;
16.04.2018;22.04.2018;NEG_HT;0;399;Grid to provider;18;18;;
16.04.2018;22.04.2018;NEG_HT;0;849;Grid to provider;156;156;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;20;20;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;9;9;;
16.04.2018;22.04.2018;NEG_HT;0;717;Grid to provider;15;15;;
16.04.2018;22.04.2018;NEG_HT;0;717;Grid to provider;8;8;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;10;10;;
16.04.2018;22.04.2018;NEG_HT;0;5997;Grid to provider;7;7;;
16.04.2018;22.04.2018;NEG_HT;0;850;Grid to provider;36;36;;
